20.000000, 40.658073
64.247002, 99.382589
137.789993, 178.689388
221.957993, 269.083787
318.265991, 372.378469
428.433990, 490.464676
554.424011, 625.452421
698.456970, 779.722532
863.057983, 955.967631
1051.079956, 1157.230063
1265.751953, 1386.943205
1510.711060, 1648.972005
1790.051025, 1947.659483
2108.365967, 2287.867640
2470.788086, 2675.021503
2883.038086, 3115.151931
3351.459961, 3614.928576
3883.052002, 4181.688624
4485.493164, 4823.451636
5167.145996, 5548.917651
5937.049805, 6367.440721
6804.874023, 7288.970051
7780.846902, 8323.958356
8875.643110, 9483.216769
10100.205259, 10777.715528
11465.523559, 12218.325457
12982.338508, 13815.487722
14660.777436, 15578.807292
16509.904447, 17516.585496
18537.236060, 19635.294003
20748.173410, 21939.001592
23145.424587, 24428.796028
25728.427137, 27102.231634
28492.822366, 29952.848902
31430.022149, 32969.821648
34526.938771, 36137.784284
37765.911752, 39436.883382
41124.886185, 42843.083357
44577.847019, 46328.733988
48095.520435, 49863.391760
51646.314804, 53414.844686
55197.427888, 56950.265780
58716.044299, 60437.413009
62170.535164, 63845.788420
65531.573750, 67147.669571
68773.079870, 70318.926833
71872.907637, 73339.604803
74813.319233, 76194.236164
77581.137777, 78871.887550
80167.686319, 81365.997849
82568.526031, 83674.036042
84783.034620, 85797.015168
86813.856953, 87738.937300
88666.345739, 89506.226391
90347.987633, 91107.150536
91867.822548, 92551.286104
93235.953455, 93849.059396
94463.120453, 95011.337486
95560.308683, 96049.093732
96538.471716, 96973.141430
97408.275520, 97793.940175
98179.967284, 98521.460082
98863.234931, 99165.066318
99467.116594, 99733.473560
100000.000000, -1.000000
