0.999000, 1.293517
1.605000, 2.056016
2.532000, 3.209974
3.924000, 4.924473
5.976000, 7.426023
8.947000, 11.013522
13.177000, 16.071466
19.096000, 23.083736
27.243000, 32.648311
38.276000, 45.488203
52.984000, 62.460548
72.293000, 84.561113
97.269000, 112.921917
129.110000, 148.801679
169.135000, 193.571826
218.767000, 248.694545
279.506000, 315.691779
352.894000, 396.110616
440.481000, 491.484822
543.782000, 603.292741
664.236000, 732.915756
803.164000, 881.599686
961.734000, 1050.422230
1140.931000, 1240.268390
1341.538000, 1451.812497
1564.119000, 1685.514032
1809.028000, 1941.625250
2076.415000, 2220.207098
2366.252000, 2521.161707
2678.372000, 2844.272483
3012.510000, 3189.254559
3368.363000, 3555.812901
3745.646000, 3943.706280
4144.164000, 4352.817846
4563.881000, 4783.227140
5004.995000, 5235.287092
5468.017000, 5709.702059
5953.848000, 6207.608780
6463.864000, 6730.660873
7000.000000, 7280.953276
7564.512000, 7860.319639
8158.802000, 8470.026472
8783.998000, 9111.197473
9441.219000, 9784.940868
10131.562000, 10492.341368
10856.099000, 11234.455187
11615.870000, 12012.298577
12411.867000, 12826.834304
13245.023000, 13678.965610
14116.211000, 14569.523302
15026.219000, 15499.251663
15975.747000, 16468.799503
16965.392000, 17478.703657
17995.630000, 18529.378438
19066.813000, 19621.102697
20179.146000, 20754.004274
21332.679000, 21928.050507
22527.296000, 23143.033251
23762.696000, 24398.562799
25038.400000, 25694.052519
26353.713000, 27028.711165
27707.747000, 28401.538545
29099.389000, 29811.318373
30527.319000, 31256.617880
31989.991000, 32735.782233
33485.641000, 34246.939064
35012.288000, 35788.002948
36567.742000, 37356.685405
38149.616000, 38950.501426
39755.327000, 40566.780930
41382.118000, 42202.688778
43027.076000, 43855.240293
44687.145000, 45521.323726
46359.158000, 47197.720310
48039.845000, 48881.128206
49725.873000, 50568.192550
51413.866000, 52255.528445
53100.431000, 53939.746975
54782.184000, 55617.485688
56455.785000, 57285.433643
58117.953000, 58940.357875
59765.504000, 60579.127443
61395.361000, 62198.735401
63004.588000, 63796.320832
64590.400000, 65369.188325
66150.192000, 66914.823516
67681.541000, 68430.901566
69182.221000, 69915.302661
70650.219000, 71366.124523
72083.744000, 72781.678932
73481.211000, 74160.493187
74841.260000, 75501.318624
76162.754000, 76803.119630
77444.759000, 78065.073605
78686.564000, 79286.562506
79887.644000, 80467.162297
81047.676000, 81606.638482
82166.514000, 82704.929586
83244.181000, 83762.142647
84280.868000, 84778.531741
85276.892000, 85754.489432
86232.721000, 86690.534822
87148.925000, 87587.297000
88026.192000, 88445.506080
88865.294000, 89265.983660
89667.102000, 90049.620371
90432.526000, 90797.367813
91162.559000, 91510.236108
91858.228000, 92189.274862
92520.605000, 92835.567190
93150.784000, 93450.216697
93749.878000, 94034.346481
94319.020000, 94589.084646
94859.333000, 95115.558779
95371.949000, 95614.896469
95857.991000, 96088.214297
96318.569000, 96536.617838
96754.784000, 96961.190667
97167.702000, 97362.991847
97558.375000, 97743.061939
97927.832000, 98102.414499
98277.071000, 98442.034079
98607.063000, 98762.872727
98918.741000, 99065.854984
99213.021000, 99351.871392
99490.768000, 99621.773485
99752.820000, 99876.391794
100000.000000, -1.000000
